#ISODate(yyyymmdd)start	end	| ssn	| Vsw	| Tilt L	| Tilt R	| Bfield	| Polarity	| solarPhase	| RdistUlysses	| LatUlysses	| Neutron Monitor Counts 	| SmoothTilt L 	| R_TerminationShock (nose) 	| R_TerminationShock (tail) 	| R_Helipause (nose) 	| R_Heliopause (tail) 
20220430	20220528	101.071	 408.96	73.80	57.60	 5.718	1	0	 99.000	  0.000	  0.000	 73.800	  80.16	  86.29	 114.75	 125.26	
20220403	20220430	 82.222	 457.56	64.10	45.90	 6.430	1	0	 99.000	  0.000	  0.000	 64.100	  80.16	  86.29	 114.75	 125.26	
20220307	20220403	 81.444	 406.96	50.50	29.20	 6.848	1	0	 99.000	  0.000	  0.000	 50.500	  79.85	  85.93	 114.37	 124.80	
20220208	20220307	 59.963	 440.15	49.50	30.90	 5.844	1	0	 99.000	  0.000	  0.000	 49.500	  79.51	  85.56	 114.04	 124.31	
20220111	20220208	 69.286	 458.39	46.00	28.90	 5.939	1	0	 99.000	  0.000	  0.000	 46.000	  79.16	  85.20	 113.67	 123.81	
20211215	20220111	 80.630	 442.15	40.50	23.60	 5.485	1	0	 99.000	  0.000	285.281	 41.175	  78.83	  84.84	 113.38	 123.32	
20211118	20211215	 53.593	 428.44	35.40	19.50	 4.856	1	0	 99.000	  0.000	285.111	 37.575	  78.50	  84.50	 113.16	 122.81	
20211021	20211118	 48.263	 429.89	30.20	14.00	 5.179	1	0	 99.000	  0.000	282.663	 34.092	  78.18	  84.18	 112.95	 122.31	
20210924	20211021	 43.774	 387.44	24.50	12.00	 5.767	1	0	 99.000	  0.000	282.907	 31.892	  77.89	  83.87	 112.73	 121.86	
20210828	20210924	 39.511	 368.11	33.20	15.20	 5.659	1	0	 99.000	  0.000	282.852	 29.900	  77.59	  83.56	 112.52	 121.45	
20210801	20210828	 35.371	 370.78	22.70	 9.00	 4.811	1	0	 99.000	  0.000	284.167	 27.875	  77.31	  83.29	 112.33	 121.07	
20210704	20210801	 30.177	 384.25	23.70	 9.30	 4.654	1	0	 99.000	  0.000	280.523	 26.433	  77.06	  83.03	 112.14	 120.71	
20210607	20210704	 26.540	 409.52	30.60	11.40	 4.807	1	0	 99.000	  0.000	284.373	 25.408	  76.81	  82.83	 111.99	 120.40	
20210511	20210607	 25.113	 381.15	22.30	 9.80	 5.167	1	0	 99.000	  0.000	285.322	 26.000	  76.65	  82.69	 111.88	 120.12	
20210414	20210511	 24.149	 420.78	24.10	11.90	 5.259	1	0	 99.000	  0.000	283.441	 25.767	  76.53	  82.59	 111.78	 119.88	
20210317	20210414	 22.616	 392.14	25.60	11.90	 4.486	1	0	 99.000	  0.000	284.106	 24.408	  76.45	  82.57	 111.72	 119.66	
20210218	20210317	 20.456	 464.56	21.70	11.30	 5.052	1	0	 99.000	  0.000	283.634	 23.725	  76.47	  82.63	 111.61	 119.53	
20210122	20210218	 18.550	 411.15	23.20	 9.30	 5.074	1	0	 99.000	  0.000	284.017	 22.917	  76.52	  82.68	 111.58	 119.39	
