#ISODate(yyyymmdd)start	end	| ssn	| Vsw	| Tilt L	| Tilt R	| Bfield	| Polarity	| solarPhase	| RdistUlysses	| LatUlysses	| Neutron Monitor Counts 	| SmoothTilt L 	| R_TerminationShock (nose) 	| R_TerminationShock (tail) 	| R_Helipause (nose) 	| R_Heliopause (tail) 
20220430	20220528	101.071	 408.96	73.80	57.60	 5.718	1	1	 99.000	  0.000	  0.000	 73.800	  80.86	  86.97	 139.04	 152.88	
20220403	20220430	 82.222	 457.56	64.10	45.90	 6.430	1	1	 99.000	  0.000	  0.000	 64.100	  80.86	  86.97	 139.04	 152.88	
20220307	20220403	 81.444	 406.96	50.50	29.20	 6.848	1	1	 99.000	  0.000	  0.000	 50.500	  80.57	  86.66	 139.52	 153.22	
20220208	20220307	 59.963	 440.15	49.50	30.90	 5.844	1	1	 99.000	  0.000	  0.000	 49.500	  80.26	  86.35	 139.98	 153.48	
20220111	20220208	 69.286	 458.39	46.00	28.90	 5.939	1	1	 99.000	  0.000	  0.000	 46.000	  79.97	  86.03	 140.38	 153.72	
20211215	20220111	 80.630	 442.15	40.50	23.60	 5.485	1	1	 99.000	  0.000	285.281	 41.175	  79.67	  85.71	 140.79	 153.89	
20211118	20211215	 53.593	 428.44	35.40	19.50	 4.856	1	1	 99.000	  0.000	285.111	 37.575	  79.36	  85.46	 141.21	 153.96	
20211021	20211118	 48.263	 429.89	30.20	14.00	 5.179	1	0	 99.000	  0.000	282.663	 34.092	  79.11	  85.20	 141.55	 154.06	
20210924	20211021	 43.774	 387.44	24.50	12.00	 5.767	1	0	 99.000	  0.000	282.907	 31.892	  78.86	  84.96	 141.84	 154.08	
20210828	20210924	 39.511	 368.11	33.20	15.20	 5.659	1	0	 99.000	  0.000	282.852	 29.900	  78.62	  84.72	 142.11	 153.95	
20210801	20210828	 35.371	 370.78	22.70	 9.00	 4.811	1	0	 99.000	  0.000	284.167	 27.875	  78.39	  84.53	 142.28	 153.85	
20210704	20210801	 30.177	 384.25	23.70	 9.30	 4.654	1	0	 99.000	  0.000	280.523	 26.433	  78.21	  84.34	 142.35	 153.65	
20210607	20210704	 26.540	 409.52	30.60	11.40	 4.807	1	0	 99.000	  0.000	284.373	 25.408	  78.04	  84.21	 142.41	 153.42	
20210511	20210607	 25.113	 381.15	22.30	 9.80	 5.167	1	0	 99.000	  0.000	285.322	 26.000	  77.90	  84.13	 142.40	 153.12	
20210414	20210511	 24.149	 420.78	24.10	11.90	 5.259	1	0	 99.000	  0.000	283.441	 25.767	  77.82	  84.06	 142.28	 152.74	
20210317	20210414	 22.616	 392.14	25.60	11.90	 4.486	1	0	 99.000	  0.000	284.106	 24.408	  77.75	  84.01	 142.18	 152.45	
20210218	20210317	 20.456	 464.56	21.70	11.30	 5.052	1	0	 99.000	  0.000	283.634	 23.725	  77.71	  83.98	 142.01	 152.16	
20210122	20210218	 18.550	 411.15	23.20	 9.30	 5.074	1	0	 99.000	  0.000	284.017	 22.917	  77.70	  83.99	 141.85	 151.83	
20201225	20210122	 16.697	 376.50	23.10	 8.50	 4.500	1	0	 99.000	  0.000	283.411	 21.617	  77.71	  84.04	 141.62	 151.50	
20201128	20201225	 14.917	 389.00	37.30	14.80	 4.833	1	0	 99.000	  0.000	285.235	 20.517	  77.75	  84.07	 141.31	 151.16	
20201101	20201128	 12.899	 375.44	21.70	13.20	 4.541	1	0	 99.000	  0.000	286.443	 19.717	  77.79	  84.13	 141.07	 150.69	
20201005	20201101	 11.685	 380.11	16.90	10.70	 4.826	1	0	 99.000	  0.000	286.950	 18.092	  77.84	  84.24	 140.85	 150.17	
20200907	20201005	 10.708	 401.75	14.50	 8.20	 4.271	1	0	 99.000	  0.000	287.881	 17.017	  77.94	  84.37	 140.57	 149.60	
